day,word_count,sd,ave_sentiment,day_count
2020-02-21,2479,0.279262094104688,-0.00623981781372608,200
2020-02-22,5853,0.267325229621436,0.0106227824023843,400
2020-02-23,5536,0.266902674665726,-0.0266327557521747,300
2020-02-24,5367,0.270903323134937,0.00296315084477924,400
2020-02-25,3942,0.278931096859092,0.00745409317073766,300
2020-02-26,4887,0.26183360445077,-0.0199411056584594,400
2020-02-27,1227,0.299646148567083,-0.0719985328667454,100
2020-02-28,4363,0.258753424156168,-0.00507521913255248,300
2020-02-29,1681,0.284145354531697,-0.0743754901585546,100
2020-03-02,1369,0.257671819134693,-0.0476101106706891,100
2020-03-03,6115,0.259370676143474,-0.0203242834312226,400
2020-03-04,3973,0.294125569600245,-0.0477007309844904,300
2020-03-05,6437,0.269227949741762,0.0122817248485734,400
2020-03-06,4906,0.248180187570069,0.0549302705274195,300
2020-03-07,7252,0.265834447803207,0.00737670153289648,400
2020-03-08,5492,0.242251720968011,-0.00857048453131529,300
2020-03-09,5423,0.268804281399659,-0.0503502082675874,400
2020-03-10,3906,0.280304279231483,-0.0403085238400575,300
2020-03-11,2838,0.288787951452911,-0.0354408088324181,200
2020-03-12,2367,0.252550678890596,-0.00339113529881753,200
2020-03-13,1748,0.301199194534661,0.0199501486700211,100
2020-03-25,1390,0.323850068874212,-0.0638916810538695,100
2020-04-12,1569,0.270221784118415,0.0372571021897483,100
2020-04-13,4330,0.275331432432925,-0.0176018624824799,300
2020-04-14,7091,0.281881326135258,-0.0451948971670237,400
2020-04-15,4759,0.29620678820452,-0.00497863882429213,300
2020-04-16,5711,0.276816165067684,0.014648808856296,400
2020-04-17,1973,0.285502789544387,-0.0325818574187783,100
2020-04-21,1359,0.244143549300294,0.0190015745850201,100
2020-04-22,3916,0.265114771296504,-0.0497903647182403,300
2020-04-23,5207,0.281297891938231,0.0055560102303167,400
2020-04-24,4860,0.28075964153556,0.0358027436141329,300
2020-04-25,7453,0.272193144746277,0.00679927508989345,400
2020-04-26,2325,0.293595193898874,0.0116498627177164,100
2020-04-27,1225,0.336380236576252,-0.0246925527865407,100
2020-04-28,3735,0.263333072557887,0.0101586194631427,200
2020-04-30,1199,0.296005528198041,0.00567690549648705,100
2020-05-02,61038,0.273755864349824,-3.47647587208214e-05,2816
2020-05-03,7410,0.277841329570845,0.0127129963521508,384
2020-05-09,1329,0.319481064366347,0.0549879551595411,100
2020-05-10,54233,0.273301494893696,-0.0055532788046298,2800
2020-05-11,46044,0.268029280281641,-0.00141059981016948,2800
2020-05-12,47275,0.26922807261371,0.000486351489793137,2800
2020-05-13,43300,0.264847206662202,0.00426457533065955,2800
2020-05-14,46175,0.270167965046054,0.000900394586124534,2800
2020-05-15,46929,0.280030615816587,0.00112774763472395,2800
2020-05-16,56684,0.27791174619573,0.0231029159497907,2800
2020-05-17,57164,0.280367666991925,0.0253184272513025,2800
2020-05-18,42837,0.27668843027585,-7.7194972694359e-05,2800
2020-05-19,4403,0.279165994971076,-0.0083697669723794,300
2020-05-30,2006,0.302730392304862,-0.0100261729524913,100
2020-05-31,7374,0.29459858190669,-0.0251074984103946,400
2020-06-01,4218,0.255765456935791,-0.0530155841046956,300
2020-06-02,6587,0.268066382073971,-0.0675830573394836,400
2020-06-03,3279,0.273218202170651,0.0220197460553669,200
2020-06-04,1266,0.290575580535317,-0.0402757516041879,100
2020-06-05,4509,0.25465581378849,-0.00340502821974855,300
2020-06-06,4565,0.288632798762833,0.0485339846546128,300
2020-06-15,21082,0.280614529873785,-0.00526109061667114,1500
2020-06-16,42658,0.282436630138691,-0.00449242861573685,2800
2020-06-17,41259,0.273012699822992,-0.0085089413891093,2800
2020-06-18,44876,0.289016974401291,-0.0024136386815345,2800
2020-06-19,46756,0.267832968557031,-0.00756754017952076,2800
2020-06-20,53527,0.279988129929087,-0.00368466505699795,2800
2020-06-21,49472,0.267569269214515,0.000466844932085666,2800
2020-06-22,43165,0.273261165974022,-0.00458651879344246,2800
2020-06-23,18889,0.289833206183712,0.000217570207581769,1300
2020-06-24,5523,0.282610017646051,-3.99767712318698e-05,400
2020-06-25,32254,0.272457840874392,-0.0206272496941258,2100
2020-06-26,7455,0.28940574987149,-0.0341935679779476,500
2020-06-27,60509,0.273956856658052,-0.00401678590078151,2900
2020-06-28,51952,0.281419567480073,-0.00526830685103494,2800
2020-06-29,41745,0.275440669831251,-0.0259146073925132,2800
2020-06-30,43569,0.267253373217638,-0.00227073574605512,2800
2020-07-01,19574,0.275351850435707,-0.00856325632145267,1200
2020-07-02,19243,0.273431768475784,0.00532193980014404,1200
2020-07-03,38006,0.277651022650535,0.0297686266362648,2000
2020-07-05,28453,0.271690821650899,0.0121476640733501,1600
2020-07-06,7491,0.267056361175938,-6.40895054443733e-05,500
2020-07-07,35802,0.259531753995668,0.0171013969184342,2400
2020-07-08,12069,0.264731750807756,-0.0040499203479242,800
2020-07-12,3450,0.249810708517666,0.0136468341379371,200
2020-07-23,37678,0.271393207744326,0.00500433599444993,2500
2020-07-24,13520,0.261244774435174,0.0148414232966913,900
2020-07-25,38971,0.267921568294232,0.0238969729863522,2000
2020-07-26,25766,0.272793420815757,0.0196435241863873,1400
2020-08-09,37818,0.274153739032151,0.0126897166187673,2200
2020-08-10,13533,0.26882945711633,0.0104070557858104,1000
2020-08-18,1684,0.250638085901942,-0.0264294269992805,100
2020-09-23,1526,0.266159757071104,0.0735928662797848,100
2020-10-30,1315,0.269003459748403,-0.0894983551982068,100
2020-12-05,1661,0.288979226252132,-0.0388405423468837,100
