day,word_count,sd,ave_sentiment,day_count
2020-02-17,13695,0.269629076096318,-0.00702425849807463,900
2020-02-18,75523,0.264232572970342,0.015284646309106,5374
2020-02-19,69821,0.258360791909232,0.0120730828081582,5185
2020-02-20,72487,0.271824252501139,0.012672903780187,5400
2020-02-21,80015,0.268873412255702,0.00226858155541845,5788
2020-02-22,78816,0.275830569146585,0.00223087838736576,4930
2020-02-23,67446,0.267100838100823,-0.00688879931949454,4428
2020-02-24,76861,0.269106405925466,-0.0152341501355535,6000
2020-02-25,73721,0.269844583677088,-0.00109618653789965,5700
2020-02-26,82107,0.368946849844012,-0.145863431979828,6000
2020-02-27,76519,0.274173472090985,-0.0200744033275842,5700
2020-02-28,87733,0.277736654929429,-0.0292415535586671,5942
2020-02-29,90055,0.277508286728559,-0.0252368504478362,5343
2020-03-01,89855,0.276556950202218,-0.0286062977185927,5300
2020-03-02,81644,0.287685312915118,-0.0390528506489859,5675
2020-03-03,91002,0.271703307878776,-0.0170479744096236,6025
2020-03-04,82668,0.276798383670302,-0.00715414395580773,5894
2020-03-05,87992,0.272441766232293,-0.0198216267353814,5900
2020-03-06,91176,0.273643382761655,-0.0043813315280117,6000
2020-03-07,96105,0.276685123245844,-0.00770581835196025,5493
2020-03-08,90524,0.269288001315518,-0.0102814090044459,5406
2020-03-09,82898,0.270349252540471,-0.0261570358546939,6000
2020-03-10,70598,0.265446883434831,-0.0131390995569015,4800
2020-03-11,5380,0.274981681705171,-0.0426555257536424,400
2020-03-12,3713,0.264673467997175,-0.0152799655326924,300
2020-03-13,6142,0.279835033254466,-0.00137456552124993,400
2020-03-14,5425,0.276978093726419,0.00221669566346045,300
2020-03-15,6050,0.277876937469073,-0.0138561412032292,400
2020-03-16,3459,0.258027729433113,-0.0342347065480383,300
2020-03-17,5653,0.302079060553424,-0.0167534244330122,400
2020-03-18,4173,0.274022249248854,-0.036011084722359,300
2020-03-19,5455,0.275014794115814,0.00346077580717079,400
2020-03-20,4265,0.282804958247895,-0.0212306275842629,300
2020-03-21,7323,0.275209501441105,-0.00889391824115286,400
2020-03-22,5462,0.275311777300489,0.00337313186769461,300
2020-03-23,5593,0.257558350099152,-0.0439869738758409,400
2020-03-24,4766,0.258066254635164,-0.0454485527487745,300
2020-03-25,7088,0.301966826735378,-0.0269586450082843,500
2020-03-26,4741,0.279872019289427,-0.0534861141236765,300
2020-03-27,7271,0.282002538053963,-0.0298041108768029,400
2020-03-28,4915,0.294553940826191,-0.0190105977897493,300
2020-03-29,7194,0.286534933266209,-0.0319294033987226,400
2020-03-30,4427,0.281106273924398,-0.00587819818205761,300
2020-03-31,6293,0.252998583678232,0.014765902176109,400
2020-04-01,3914,0.246963448004518,-0.0573159203305842,300
2020-04-02,6423,0.264726031854895,-0.044671626684644,400
2020-04-03,4233,0.251178896374005,-0.00999938543815777,300
2020-04-04,7888,0.267808190658923,-0.0178704217108746,400
2020-04-05,6394,0.286080050903373,0.0152905277352082,300
2020-04-06,5377,0.28059347050225,-0.0483343042388709,400
